sic,description,as_of_date,value,is_sa,release_as_of_date
571,Furniture and home furnishings,1993-07-01,4848,1,1994-07-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-07-01,3715,1,1994-07-01
53,General merchandise group stores,1993-07-01,22348,1,1994-07-01
541,Grocery stores,1993-07-01,30762,1,1994-07-01
56,Apparel and accessory stores,1993-07-01,8815,1,1994-07-01
58,Eating and drinking places,1993-07-01,17628,1,1994-07-01
591,Drug and proprietary stores,1993-07-01,6813,1,1994-07-01
592,Liquor stores,1993-07-01,1767,1,1994-07-01
5961,Total mail order,1993-07-01,2086,1,1994-07-01
53,General merchandise group stores,1994-07-01,21904,0,1994-07-01
541,Grocery stores,1994-07-01,33304,0,1994-07-01
56,Apparel and accessory stores,1994-07-01,8206,0,1994-07-01
58,Eating and drinking places,1994-07-01,20028,0,1994-07-01
591,Drug and proprietary stores,1994-07-01,6515,0,1994-07-01
553,Auto and home supply stores,1993-07-01,3424,0,1994-07-01
571,Furniture and home furnishings,1993-07-01,4916,0,1994-07-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-07-01,3734,0,1994-07-01
53,General merchandise group stores,1993-07-01,20684,0,1994-07-01
541,Grocery stores,1993-07-01,32700,0,1994-07-01
56,Apparel and accessory stores,1993-07-01,8379,0,1994-07-01
58,Eating and drinking places,1993-07-01,18686,0,1994-07-01
591,Drug and proprietary stores,1993-07-01,6636,0,1994-07-01
592,Liquor stores,1993-07-01,1922,0,1994-07-01
5961,Total mail order,1993-07-01,1834,0,1994-07-01
53,General merchandise group stores,1994-08-01,23978,1,1994-08-01
541,Grocery stores,1994-08-01,31769,1,1994-08-01
56,Apparel and accessory stores,1994-08-01,9052,1,1994-08-01
58,Eating and drinking places,1994-08-01,18829,1,1994-08-01
591,Drug and proprietary stores,1994-08-01,6965,1,1994-08-01
553,Auto and home supply stores,1993-08-01,3190,1,1994-08-01
571,Furniture and home furnishings,1993-08-01,4850,1,1994-08-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-08-01,3820,1,1994-08-01
53,General merchandise group stores,1993-08-01,22438,1,1994-08-01
541,Grocery stores,1993-08-01,30927,1,1994-08-01
56,Apparel and accessory stores,1993-08-01,8759,1,1994-08-01
58,Eating and drinking places,1993-08-01,17769,1,1994-08-01
591,Drug and proprietary stores,1993-08-01,6725,1,1994-08-01
592,Liquor stores,1993-08-01,1731,1,1994-08-01
5961,Total mail order,1993-08-01,2232,1,1994-08-01
53,General merchandise group stores,1994-08-01,23583,0,1994-08-01
541,Grocery stores,1994-08-01,32309,0,1994-08-01
56,Apparel and accessory stores,1994-08-01,9631,0,1994-08-01
58,Eating and drinking places,1994-08-01,20015,0,1994-08-01
591,Drug and proprietary stores,1994-08-01,6833,0,1994-08-01
553,Auto and home supply stores,1993-08-01,3388,0,1994-08-01
571,Furniture and home furnishings,1993-08-01,4903,0,1994-08-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-08-01,3675,0,1994-08-01
53,General merchandise group stores,1993-08-01,21838,0,1994-08-01
541,Grocery stores,1993-08-01,30989,0,1994-08-01
56,Apparel and accessory stores,1993-08-01,9186,0,1994-08-01
58,Eating and drinking places,1993-08-01,18924,0,1994-08-01
591,Drug and proprietary stores,1993-08-01,6510,0,1994-08-01
592,Liquor stores,1993-08-01,1743,0,1994-08-01
5961,Total mail order,1993-08-01,2004,0,1994-08-01
53,General merchandise group stores,1994-09-01,23996,1,1994-09-01
541,Grocery stores,1994-09-01,31917,1,1994-09-01
56,Apparel and accessory stores,1994-09-01,8819,1,1994-09-01
58,Eating and drinking places,1994-09-01,18722,1,1994-09-01
591,Drug and proprietary stores,1994-09-01,7043,1,1994-09-01
553,Auto and home supply stores,1993-09-01,3154,1,1994-09-01
571,Furniture and home furnishings,1993-09-01,4876,1,1994-09-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-09-01,3884,1,1994-09-01
53,General merchandise group stores,1993-09-01,22604,1,1994-09-01
541,Grocery stores,1993-09-01,30842,1,1994-09-01
56,Apparel and accessory stores,1993-09-01,8918,1,1994-09-01
58,Eating and drinking places,1993-09-01,18008,1,1994-09-01
591,Drug and proprietary stores,1993-09-01,6765,1,1994-09-01
592,Liquor stores,1993-09-01,1737,1,1994-09-01
5961,Total mail order,1993-09-01,2341,1,1994-09-01
53,General merchandise group stores,1994-09-01,21842,0,1994-09-01
541,Grocery stores,1994-09-01,31566,0,1994-09-01
56,Apparel and accessory stores,1994-09-01,8599,0,1994-09-01
58,Eating and drinking places,1994-09-01,18591,0,1994-09-01
591,Drug and proprietary stores,1994-09-01,6691,0,1994-09-01
553,Auto and home supply stores,1993-09-01,3245,0,1994-09-01
571,Furniture and home furnishings,1993-09-01,4798,0,1994-09-01
"5722,31,34","Household appliance, radio,TVand computer stores",1993-09-01,3682,0,1994-09-01
53,General merchandise group stores,1993-09-01,20651,0,1994-09-01
541,Grocery stores,1993-09-01,30503,0,1994-09-01
